skill_type,skill
communication,ai  law
business,analysis
programming,analytics
programming,big data
programming,cloud
business,creativity
programming,data engineering
programming,data mining
programming,data natives
programming,devops
business,entrepreneurship
programming,fintech
programming,galaxql
business,government
programming,Hadoop
business,information
programming,IOS
programming,Java
programming,machine learning
business,manufacturing
programming,MATLAB
visualization,media
programming,mobile development
NA,NA
programming,network
programming,NOSQL
math,pattern discovery
business,policy
programming,Python
programming,r
business,retail
programming,RSS
programming,Ruby
programming,SAS
business,security and risk strategy
programming,SQL
programming,storage
programming,tableau
programming,web development
