"frequency ""skill"" ""skill_type"""
"1 2 ""analysis"" ""technical"""
"2 23 ""analytics"" ""technical"""
"3 7 ""big"" ""technical"""
"4 14 ""business"" ""technical"""
"5 6 ""design"" ""technical"""
"6 6 ""hadoop"" ""technical"""
"7 6 ""java"" ""technical"""
"8 19 ""machine"" ""technical"""
"9 3 ""math"" ""technical"""
"10 3 ""matlab"" ""technical"""
"11 9 ""modeling"" ""technical"""
"12 3 ""predictive"" ""technical"""
"13 1 ""presentation"" ""technical"""
"14 14 ""programming"" ""technical"""
"15 28 ""python"" ""technical"""
"16 4 ""research"" ""technical"""
"17 3 ""sas"" ""technical"""
"18 1 ""scriptingpythonrjavascala"" ""technical"""
"19 12 ""sql"" ""technical"""
"20 13 ""statistics"" ""technical"""
"21 11 ""communication"" ""Non technical"""
"22 4 ""creative"" ""Non technical"""
"23 9 ""interpersonal"" ""Non technical"""
"24 3 ""leadership"" ""Non technical"""
"25 9 ""management"" ""Non technical"""
"26 14 ""team"" ""Non technical"""
