Base_Term,Skill_Term,City,radius,indeed_url,new_jobs_count
Data Scientist,agent-based Simulation,"New York,NY",25,"http://www.indeed.com/jobs?q=agent-based Simulation+Data Scientist&l=New York,NY&radius=25",1
Data Analytics,agent-based Simulation,"New York,NY",25,"http://www.indeed.com/jobs?q=agent-based Simulation+Data Analytics&l=New York,NY&radius=25",1
Data Scientist,ANOVA,"New York,NY",25,"http://www.indeed.com/jobs?q=ANOVA+Data Scientist&l=New York,NY&radius=25",4
Data Analytics,ANOVA,"New York,NY",25,"http://www.indeed.com/jobs?q=ANOVA+Data Analytics&l=New York,NY&radius=25",3
Data Scientist,Bayes networks,"New York,NY",25,"http://www.indeed.com/jobs?q=Bayes networks+Data Scientist&l=New York,NY&radius=25",5
Data Analytics,Bayes networks,"New York,NY",25,"http://www.indeed.com/jobs?q=Bayes networks+Data Analytics&l=New York,NY&radius=25",7
Data Scientist,Bayesian Statistics,"New York,NY",25,"http://www.indeed.com/jobs?q=Bayesian Statistics+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Bayesian Statistics,"New York,NY",25,"http://www.indeed.com/jobs?q=Bayesian Statistics+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Big Data,"New York,NY",25,"http://www.indeed.com/jobs?q=Big Data+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Big Data,"New York,NY",25,"http://www.indeed.com/jobs?q=Big Data+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,BUGS,"New York,NY",25,"http://www.indeed.com/jobs?q=BUGS+Data Scientist&l=New York,NY&radius=25",7
Data Analytics,BUGS,"New York,NY",25,"http://www.indeed.com/jobs?q=BUGS+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,C,"New York,NY",25,"http://www.indeed.com/jobs?q=C+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,C,"New York,NY",25,"http://www.indeed.com/jobs?q=C+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,calculus,"New York,NY",25,"http://www.indeed.com/jobs?q=calculus+Data Scientist&l=New York,NY&radius=25",3
Data Analytics,calculus,"New York,NY",25,"http://www.indeed.com/jobs?q=calculus+Data Analytics&l=New York,NY&radius=25",0
